task_index,replicate,chemistry.b,chemistry.I0,mechanics.interaction_strength
1,1,0.1,-2,0.1
2,2,0.1,-2,0.1
3,3,0.1,-2,0.1
4,1,0.1,-2,0.5
5,2,0.1,-2,0.5
6,3,0.1,-2,0.5
7,1,0.1,-2,1
8,2,0.1,-2,1
9,3,0.1,-2,1
10,1,0.1,-1.5,0.1
11,2,0.1,-1.5,0.1
12,3,0.1,-1.5,0.1
13,1,0.1,-1.5,0.5
14,2,0.1,-1.5,0.5
15,3,0.1,-1.5,0.5
16,1,0.1,-1.5,1
17,2,0.1,-1.5,1
18,3,0.1,-1.5,1
19,1,0.1,-1,0.1
20,2,0.1,-1,0.1
21,3,0.1,-1,0.1
22,1,0.1,-1,0.5
23,2,0.1,-1,0.5
24,3,0.1,-1,0.5
25,1,0.1,-1,1
26,2,0.1,-1,1
27,3,0.1,-1,1
28,1,0.1,-0.5,0.1
29,2,0.1,-0.5,0.1
30,3,0.1,-0.5,0.1
31,1,0.1,-0.5,0.5
32,2,0.1,-0.5,0.5
33,3,0.1,-0.5,0.5
34,1,0.1,-0.5,1
35,2,0.1,-0.5,1
36,3,0.1,-0.5,1
37,1,0.1,0,0.1
38,2,0.1,0,0.1
39,3,0.1,0,0.1
40,1,0.1,0,0.5
41,2,0.1,0,0.5
42,3,0.1,0,0.5
43,1,0.1,0,1
44,2,0.1,0,1
45,3,0.1,0,1
46,1,0.1,0.5,0.1
47,2,0.1,0.5,0.1
48,3,0.1,0.5,0.1
49,1,0.1,0.5,0.5
50,2,0.1,0.5,0.5
51,3,0.1,0.5,0.5
52,1,0.1,0.5,1
53,2,0.1,0.5,1
54,3,0.1,0.5,1
55,1,0.2,-2,0.1
56,2,0.2,-2,0.1
57,3,0.2,-2,0.1
58,1,0.2,-2,0.5
59,2,0.2,-2,0.5
60,3,0.2,-2,0.5
61,1,0.2,-2,1
62,2,0.2,-2,1
63,3,0.2,-2,1
64,1,0.2,-1.5,0.1
65,2,0.2,-1.5,0.1
66,3,0.2,-1.5,0.1
67,1,0.2,-1.5,0.5
68,2,0.2,-1.5,0.5
69,3,0.2,-1.5,0.5
