task_index,replicate,chemistry.b,mechanics.u_threshold,mechanics.mobility,mechanics.reciprocity
1,1,0.1,-1,0.01,reciprocal
2,1,0.1,-1,0.01,nonreciprocal
3,1,0.1,-1,0.05,reciprocal
4,1,0.1,-1,0.05,nonreciprocal
5,1,0.1,-1,0.1,reciprocal
6,1,0.1,-1,0.1,nonreciprocal
7,1,0.1,-0.5,0.01,reciprocal
8,1,0.1,-0.5,0.01,nonreciprocal
9,1,0.1,-0.5,0.05,reciprocal
10,1,0.1,-0.5,0.05,nonreciprocal
11,1,0.1,-0.5,0.1,reciprocal
12,1,0.1,-0.5,0.1,nonreciprocal
13,1,0.1,0,0.01,reciprocal
14,1,0.1,0,0.01,nonreciprocal
15,1,0.1,0,0.05,reciprocal
16,1,0.1,0,0.05,nonreciprocal
17,1,0.1,0,0.1,reciprocal
18,1,0.1,0,0.1,nonreciprocal
19,1,0.1,0.5,0.01,reciprocal
20,1,0.1,0.5,0.01,nonreciprocal
21,1,0.1,0.5,0.05,reciprocal
22,1,0.1,0.5,0.05,nonreciprocal
23,1,0.1,0.5,0.1,reciprocal
24,1,0.1,0.5,0.1,nonreciprocal
25,1,0.1,1,0.01,reciprocal
26,1,0.1,1,0.01,nonreciprocal
27,1,0.1,1,0.05,reciprocal
28,1,0.1,1,0.05,nonreciprocal
29,1,0.1,1,0.1,reciprocal
30,1,0.1,1,0.1,nonreciprocal
31,1,0.25,-1,0.01,reciprocal
32,1,0.25,-1,0.01,nonreciprocal
33,1,0.25,-1,0.05,reciprocal
34,1,0.25,-1,0.05,nonreciprocal
35,1,0.25,-1,0.1,reciprocal
36,1,0.25,-1,0.1,nonreciprocal
37,1,0.25,-0.5,0.01,reciprocal
38,1,0.25,-0.5,0.01,nonreciprocal
39,1,0.25,-0.5,0.05,reciprocal
40,1,0.25,-0.5,0.05,nonreciprocal
41,1,0.25,-0.5,0.1,reciprocal
42,1,0.25,-0.5,0.1,nonreciprocal
43,1,0.25,0,0.01,reciprocal
44,1,0.25,0,0.01,nonreciprocal
45,1,0.25,0,0.05,reciprocal
46,1,0.25,0,0.05,nonreciprocal
47,1,0.25,0,0.1,reciprocal
48,1,0.25,0,0.1,nonreciprocal
49,1,0.25,0.5,0.01,reciprocal
50,1,0.25,0.5,0.01,nonreciprocal
51,1,0.25,0.5,0.05,reciprocal
52,1,0.25,0.5,0.05,nonreciprocal
53,1,0.25,0.5,0.1,reciprocal
54,1,0.25,0.5,0.1,nonreciprocal
55,1,0.25,1,0.01,reciprocal
56,1,0.25,1,0.01,nonreciprocal
57,1,0.25,1,0.05,reciprocal
58,1,0.25,1,0.05,nonreciprocal
59,1,0.25,1,0.1,reciprocal
60,1,0.25,1,0.1,nonreciprocal
61,1,0.5,-1,0.01,reciprocal
62,1,0.5,-1,0.01,nonreciprocal
63,1,0.5,-1,0.05,reciprocal
64,1,0.5,-1,0.05,nonreciprocal
65,1,0.5,-1,0.1,reciprocal
66,1,0.5,-1,0.1,nonreciprocal
67,1,0.5,-0.5,0.01,reciprocal
68,1,0.5,-0.5,0.01,nonreciprocal
69,1,0.5,-0.5,0.05,reciprocal
70,1,0.5,-0.5,0.05,nonreciprocal
71,1,0.5,-0.5,0.1,reciprocal
72,1,0.5,-0.5,0.1,nonreciprocal
73,1,0.5,0,0.01,reciprocal
74,1,0.5,0,0.01,nonreciprocal
75,1,0.5,0,0.05,reciprocal
76,1,0.5,0,0.05,nonreciprocal
77,1,0.5,0,0.1,reciprocal
78,1,0.5,0,0.1,nonreciprocal
79,1,0.5,0.5,0.01,reciprocal
80,1,0.5,0.5,0.01,nonreciprocal
81,1,0.5,0.5,0.05,reciprocal
82,1,0.5,0.5,0.05,nonreciprocal
83,1,0.5,0.5,0.1,reciprocal
84,1,0.5,0.5,0.1,nonreciprocal
85,1,0.5,1,0.01,reciprocal
86,1,0.5,1,0.01,nonreciprocal
87,1,0.5,1,0.05,reciprocal
88,1,0.5,1,0.05,nonreciprocal
89,1,0.5,1,0.1,reciprocal
90,1,0.5,1,0.1,nonreciprocal
91,1,0.75,-1,0.01,reciprocal
92,1,0.75,-1,0.01,nonreciprocal
93,1,0.75,-1,0.05,reciprocal
94,1,0.75,-1,0.05,nonreciprocal
95,1,0.75,-1,0.1,reciprocal
96,1,0.75,-1,0.1,nonreciprocal
97,1,0.75,-0.5,0.01,reciprocal
98,1,0.75,-0.5,0.01,nonreciprocal
99,1,0.75,-0.5,0.05,reciprocal
100,1,0.75,-0.5,0.05,nonreciprocal
101,1,0.75,-0.5,0.1,reciprocal
102,1,0.75,-0.5,0.1,nonreciprocal
103,1,0.75,0,0.01,reciprocal
104,1,0.75,0,0.01,nonreciprocal
105,1,0.75,0,0.05,reciprocal
106,1,0.75,0,0.05,nonreciprocal
107,1,0.75,0,0.1,reciprocal
108,1,0.75,0,0.1,nonreciprocal
109,1,0.75,0.5,0.01,reciprocal
110,1,0.75,0.5,0.01,nonreciprocal
111,1,0.75,0.5,0.05,reciprocal
112,1,0.75,0.5,0.05,nonreciprocal
113,1,0.75,0.5,0.1,reciprocal
114,1,0.75,0.5,0.1,nonreciprocal
115,1,0.75,1,0.01,reciprocal
116,1,0.75,1,0.01,nonreciprocal
117,1,0.75,1,0.05,reciprocal
118,1,0.75,1,0.05,nonreciprocal
119,1,0.75,1,0.1,reciprocal
120,1,0.75,1,0.1,nonreciprocal
121,1,1,-1,0.01,reciprocal
122,1,1,-1,0.01,nonreciprocal
123,1,1,-1,0.05,reciprocal
124,1,1,-1,0.05,nonreciprocal
125,1,1,-1,0.1,reciprocal
126,1,1,-1,0.1,nonreciprocal
127,1,1,-0.5,0.01,reciprocal
128,1,1,-0.5,0.01,nonreciprocal
129,1,1,-0.5,0.05,reciprocal
130,1,1,-0.5,0.05,nonreciprocal
131,1,1,-0.5,0.1,reciprocal
132,1,1,-0.5,0.1,nonreciprocal
133,1,1,0,0.01,reciprocal
134,1,1,0,0.01,nonreciprocal
135,1,1,0,0.05,reciprocal
136,1,1,0,0.05,nonreciprocal
137,1,1,0,0.1,reciprocal
138,1,1,0,0.1,nonreciprocal
139,1,1,0.5,0.01,reciprocal
140,1,1,0.5,0.01,nonreciprocal
141,1,1,0.5,0.05,reciprocal
142,1,1,0.5,0.05,nonreciprocal
143,1,1,0.5,0.1,reciprocal
144,1,1,0.5,0.1,nonreciprocal
145,1,1,1,0.01,reciprocal
146,1,1,1,0.01,nonreciprocal
147,1,1,1,0.05,reciprocal
148,1,1,1,0.05,nonreciprocal
149,1,1,1,0.1,reciprocal
150,1,1,1,0.1,nonreciprocal
